"","user_genome","fg","b-RC1-09-am","b-RC7-09-am","b-RC1-16-am","t-RC1-16-am","b-RC2-16-am","b-RC7-16-am","b-RC9-16-am","b-RC1-23-am","b-RC2-23-am","b-RC7-23-am","b-RC9-23-am","b-RC1-30-am","b-RC2-30-am","b-RC7-30-am","b-RC9-30-am"
"1","bin.1","Ilumatobacteraceae BACL27",32237.403977,47373.907708,49389.520445,20489.626192,38944.207973,85745.017305,78597.119707,8282.901425,21322.593893,23205.979708,43137.328911,61620.293095,43392.720146,77597.308565,90689.533178
"2","bin.10","Burkholderiaceae UBA2463",11043.272083,17206.310472,16507.659786,34275.032931,14247.665663,13006.786195,11796.262121,33505.929748,28209.70275,29704.96384,24405.63554,11301.788504,13776.545365,17444.459719,17065.343467
"3","bin.11","Steroidobacteraceae UBA964",49015.32526,69776.801273,54928.8416,34401.131087,49285.644899,79878.983038,69219.357272,70792.159639,72723.065386,75841.658737,87040.139583,31588.181322,34881.689506,49516.586972,55528.328071
"4","bin.12","Nanopelagicaceae Nanopelagicus",35584.441259,39416.533951,21350.618272,1759.870935,35864.380599,40174.8936,38888.989778,474.31745,1151.587867,9979.8502,20492.301307,15768.492358,15243.265829,21949.055003,26395.246229
"5","bin.13","S36-B12 Mxb001",66885.167025,44929.907539,43284.202222,46851.453774,49036.088503,30187.510523,52343.118331,88240.910797,154543.594749,89886.984635,94349.32222,52336.430378,47845.684063,48170.596155,52183.359956
"6","bin.14","Pelagibacteraceae SYDM01",206206.293347,254094.83666,234873.423468,255516.753514,409486.881685,232075.326266,235264.609224,326998.589632,233171.427135,291839.587763,184834.589105,264690.722335,339531.917902,293618.469393,226286.787674
"7","bin.2","Ilumatobacteraceae UBA3006",87058.477344,78950.438904,114575.506906,77198.427385,35402.087977,74990.495989,67960.296034,26455.146488,55844.284377,22823.448802,23878.518126,40209.243275,29482.625613,25034.660281,26072.315516
"8","bin.3","Ilumatobacteraceae F1-60-MAGs027",50022.530673,56584.937158,129743.435787,84615.951438,52931.38643,85139.53475,77113.705135,55764.743752,108411.686561,61408.060221,93358.421193,164167.782016,132412.082068,148304.178179,150406.145786
"9","bin.4","Methylophilaceae BACL14",16767.873099,16371.731688,27920.508312,22062.686193,19464.958905,20380.74747,19881.576755,27091.579299,23187.668268,20248.365163,17011.19062,23826.037809,23910.495256,20379.7571,18362.808566
"10","bin.5","Nanopelagicaceae MAG-120802",130621.537101,165010.959642,100395.793579,14989.792181,144764.668171,219138.693384,210958.904618,14724.763946,16257.796962,76718.374232,178046.308587,87031.902469,78307.432694,131352.022975,191047.761077
"11","bin.6","Ilumatobacteraceae Casp-actino8",33345.074531,23488.509064,38326.469454,31370.372892,17551.104968,26005.455093,28263.803075,19506.09823,28654.126315,20397.357268,20676.267509,39142.718918,31646.344997,27532.743707,32308.262593
"12","bin.7","Cyanobiaceae Vulcanococcus",145890.550051,103579.777327,46131.374294,160095.944715,65326.617584,32040.283514,44202.986693,120701.111865,89763.722495,102241.508079,73136.359551,85295.217875,74275.428329,41998.856242,34195.927087
"13","bin.8","Burkholderiaceae RS62",77217.463511,53525.994229,47855.144285,128407.079335,47610.698294,38494.664161,40346.921279,136450.781766,90063.153719,88926.327052,51329.643061,94049.059171,113531.761975,72549.64453,51699.679461
"14","bin.9","Chitinophagaceae JJ008",58104.59077,29689.3544,74717.5016,87965.877446,20083.608337,22741.608712,25162.349981,71010.965959,76695.589528,86777.534292,88303.974682,28972.130455,21762.006272,24551.661152,27758.501328
